State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total eve minutes,Total eve calls,Total night minutes,Total night calls,Total intl minutes,Total intl calls,Customer service calls,Churn
OR,33.0,415,No,Yes,29,157.4,99.0,117.9,80.0,279.2,79,13.9,10.5,3.5,True
NJ,106.0,415,No,No,0,207.9,91.0,172.0,109.0,191.8,143,14.4,7.0,3.5,False
MS,82.0,408,No,No,0,207.0,90.0,232.9,83.0,172.4,108,9.1,8.0,3.0,False
TX,97.0,415,Yes,No,0,143.7,117.0,273.0,82.0,178.3,81,10.9,3.0,0.0,False
DC,108.0,510,No,No,0,138.6,122.0,172.3,117.0,231.6,92,9.8,3.0,1.0,False
TX,114.0,415,No,No,0,84.7,118.0,249.9,86.0,193.4,95,14.5,8.0,1.0,False
UT,59.0,510,No,No,0,155.2,79.0,235.3,123.0,169.4,80,8.7,4.0,1.0,False
MN,24.0,510,No,Yes,25,164.9,110.0,209.3,105.0,231.2,55,6.7,9.0,1.0,False
IL,151.0,408,No,No,0,134.5,88.0,143.1,112.0,223.9,61,15.4,1.0,1.0,False
NM,117.0,415,No,No,0,143.3,103.0,211.3,108.0,185.2,96,11.5,3.0,1.0,False
WV,114.0,510,No,Yes,30,206.2,79.0,260.0,91.0,291.6,83,11.4,6.0,1.0,False
RI,114.0,510,No,Yes,28,225.8,94.0,193.0,117.0,232.4,100,8.4,9.0,3.5,False
NH,119.0,408,No,No,0,138.3,89.0,170.5,78.0,263.9,98,13.5,6.0,3.0,False
MA,118.0,408,Yes,No,0,160.0,123.0,175.4,96.0,184.8,99,9.9,3.0,2.0,False
PA,101.0,415,No,No,0,206.6,105.0,224.9,117.0,249.9,100,14.6,3.0,0.0,False
OK,117.0,415,No,No,0,134.7,121.0,180.0,83.0,200.9,104,7.7,3.0,1.0,False
AL,49.0,415,No,Yes,28,214.4,78.0,235.2,100.0,206.2,107,8.0,10.5,3.0,False
WY,139.0,415,No,No,0,192.8,104.0,234.4,96.0,203.2,101,13.0,3.0,3.0,False
PA,92.0,408,No,Yes,28,151.1,90.0,194.8,79.0,239.2,114,10.0,3.0,1.0,False
HI,148.0,510,Yes,No,0,218.9,88.0,208.0,85.0,203.3,99,11.1,4.0,0.0,False
AL,131.0,415,No,Yes,25,192.7,85.0,225.9,105.0,254.2,59,10.9,6.0,2.0,False
VT,146.0,510,Yes,No,0,204.4,135.0,219.1,90.0,222.7,114,10.5,6.0,3.0,False
AK,48.0,415,No,Yes,37,211.7,115.0,159.9,84.0,144.1,80,12.2,1.0,1.0,False
MI,86.0,415,No,Yes,28,221.6,74.0,288.4,100.0,240.3,105,9.0,2.0,1.0,False
DE,71.0,415,No,No,0,197.9,108.0,181.5,109.0,281.4,56,6.7,5.0,3.0,False
MI,137.0,510,No,No,0,206.4,122.0,128.0,102.0,194.5,84,8.8,5.0,2.0,False
KS,137.0,408,No,No,0,205.9,88.0,209.3,86.0,289.9,84,14.5,4.0,2.0,False
AL,167.0,510,No,No,0,207.6,88.0,132.4,63.0,255.2,98,14.1,5.0,0.0,False
NE,132.0,510,No,No,0,99.5,110.0,129.1,80.0,125.1,124,9.7,3.0,0.0,False
WI,94.0,510,No,No,0,177.1,112.0,194.0,112.0,146.7,108,5.9,4.0,1.0,False
WI,96.0,510,No,Yes,18,172.7,86.0,133.4,113.0,259.5,70,9.8,3.0,1.0,False
IN,166.0,510,No,No,0,204.2,115.0,179.9,152.0,216.8,109,9.5,5.0,1.0,False
DC,74.0,415,No,No,0,85.7,83.0,247.7,67.0,142.4,85,10.1,5.0,2.0,False
AR,36.0,415,No,No,0,157.6,117.0,184.3,58.0,240.4,99,11.9,1.0,0.0,False
ME,113.0,415,No,No,0,215.5,129.0,218.7,117.0,207.1,91,6.6,9.0,3.5,False
MD,67.0,415,No,No,0,171.7,80.0,110.4,81.0,195.4,111,11.9,4.0,2.0,False
IA,158.0,415,No,No,0,158.0,106.0,292.5,114.0,241.1,89,9.1,4.0,1.0,False
AZ,136.0,510,No,No,0,92.0,117.0,253.6,77.0,214.1,90,10.3,10.0,1.0,False
MO,196.0,415,No,No,0,234.0,109.0,249.5,114.0,173.1,70,9.1,5.0,2.0,False
VT,113.0,415,No,No,0,272.1,111.0,268.5,118.0,213.8,105,8.5,10.0,1.0,True
RI,112.0,510,No,No,0,194.4,101.0,190.3,82.0,183.4,107,11.4,2.0,0.0,False
SD,206.5,415,No,No,0,227.2,128.0,258.4,92.0,183.5,74,8.9,4.0,3.0,False
MN,62.0,415,No,No,0,248.7,109.0,220.0,118.0,265.7,78,13.2,2.0,1.0,True
TX,110.0,415,No,Yes,38,236.3,102.0,195.9,112.0,183.5,82,9.7,6.0,1.0,False
VA,16.0,510,No,No,0,205.6,69.0,169.5,93.0,220.1,64,10.9,3.0,0.0,False
MA,73.0,408,No,No,0,94.1,136.0,280.3,122.0,205.0,77,9.8,4.0,0.0,False
ID,128.0,408,No,No,0,125.2,99.0,205.4,107.0,254.4,111,17.5,2.0,0.0,False
MA,39.0,408,No,No,0,60.4,154.5,306.2,120.0,123.9,48,12.4,3.0,1.0,False
GA,103.0,415,No,Yes,28,121.0,105.0,270.4,100.0,160.5,76,7.7,4.0,2.0,False
RI,119.0,415,No,Yes,29,117.8,66.0,256.8,114.0,147.6,76,7.6,3.0,3.0,False
ID,173.0,510,No,Yes,21,232.4,96.0,211.9,118.0,273.0,102,5.0,5.0,3.0,False
SD,128.0,510,Yes,Yes,32,223.5,81.0,188.8,74.0,154.9,101,9.4,2.0,2.0,True
MA,86.0,510,No,No,0,176.3,79.0,259.2,97.0,287.4,78,6.2,3.0,0.0,False
WY,114.0,415,No,Yes,32,125.2,79.0,177.8,105.0,232.4,89,12.9,3.0,1.0,False
VA,104.0,408,No,No,0,138.7,107.0,256.9,113.0,234.9,74,10.0,3.0,0.0,False
OR,148.0,415,No,No,0,86.3,134.0,246.6,92.0,251.6,91,11.3,4.0,1.0,False
VA,129.0,408,No,No,0,207.0,91.0,154.9,121.0,245.1,112,13.4,5.0,3.0,False
ME,100.0,510,No,Yes,30,58.8,104.0,219.5,107.0,152.3,118,7.1,3.0,0.0,False
GA,143.0,408,No,Yes,33,239.2,109.0,235.5,112.0,156.3,95,9.5,4.0,1.0,False
IA,76.0,510,No,No,0,198.3,130.0,217.1,86.0,188.4,96,12.5,3.0,0.0,False
AZ,158.0,510,No,No,0,205.2,97.0,240.6,77.0,79.7,108,14.4,10.5,0.0,False
FL,116.0,510,No,No,0,192.1,98.0,312.9,135.0,130.2,94,7.9,2.0,3.0,False
MT,54.0,415,No,No,0,272.6,83.0,248.7,74.0,197.4,111,9.5,2.0,1.0,True
AL,86.0,415,No,No,0,128.3,121.0,197.1,93.0,138.4,152,12.2,5.0,3.5,True
DE,108.0,510,No,No,0,169.6,99.0,264.1,87.0,206.3,78,9.3,4.0,0.0,False
MT,66.0,510,No,No,0,201.3,95.0,152.8,66.0,233.2,101,7.5,4.0,1.0,False
KY,151.0,408,No,Yes,17,214.7,97.0,138.5,90.0,169.1,48,8.6,4.0,1.0,False
SC,99.0,510,No,No,0,169.2,70.0,271.5,77.0,170.2,104,10.6,2.0,0.0,False
WA,55.0,415,No,No,0,194.1,121.0,176.6,110.0,302.8,136,7.0,7.0,2.0,False
AK,78.0,408,No,No,0,225.1,67.0,199.2,127.0,175.5,102,14.6,2.0,0.0,False
GA,89.0,415,No,No,0,213.0,63.0,176.6,71.0,262.6,126,9.1,1.0,1.0,True
MN,101.0,415,No,No,0,183.9,115.0,255.9,101.0,275.0,145,10.8,10.5,1.0,False
IL,44.0,415,No,Yes,34,221.8,105.0,161.7,85.0,227.7,62,14.0,7.0,0.0,False
IN,98.0,408,No,Yes,21,64.6,98.0,176.1,86.0,244.8,84,3.1000000000000005,0.0,2.0,False
SC,64.0,510,No,Yes,37,154.6,92.0,83.4,103.0,165.9,99,13.3,3.0,1.0,False
VA,141.0,415,No,No,0,260.2,131.0,179.2,120.0,135.0,119,7.2,8.0,3.0,False
WI,81.0,415,No,Yes,33,161.6,117.0,123.0,90.0,261.3,101,12.2,5.0,1.0,False
VT,162.0,510,No,No,0,220.6,117.0,155.2,121.0,186.7,89,10.5,10.5,1.0,False
AZ,83.0,415,No,Yes,41,155.9,122.0,162.3,107.0,127.6,105,13.1,5.0,3.0,False
FL,100.0,510,No,No,0,107.0,63.0,105.7,67.0,243.1,74,12.8,3.0,3.5,True
AK,59.0,510,No,No,0,182.5,104.0,204.7,95.0,229.9,100,11.3,8.0,3.5,False
AR,179.0,415,Yes,Yes,38,220.1,78.0,234.3,71.0,237.3,85,10.1,4.0,3.5,False
AR,79.0,408,No,No,0,152.2,112.0,177.2,132.0,96.4,87,5.3,3.0,1.0,False
AK,117.0,415,No,No,0,181.5,95.0,205.1,88.0,204.0,82,14.7,9.0,2.0,False
ME,31.0,415,No,No,0,166.1,105.0,79.3,93.0,213.7,98,12.7,2.0,1.0,False
NM,122.0,408,No,Yes,23,134.2,85.0,227.3,132.0,122.4,96,8.5,2.0,2.0,False
NE,37.0,408,Yes,Yes,39,149.7,122.0,211.1,75.0,114.3,90,9.2,4.0,1.0,False
SC,90.0,408,No,Yes,29,150.1,109.0,264.7,103.0,178.4,97,5.8,4.0,1.0,False
CO,159.0,408,Yes,No,0,257.1,53.0,312.2,127.0,183.0,82,8.8,6.0,1.0,True
OH,39.0,415,No,Yes,36,141.7,121.0,232.3,113.0,222.1,131,12.0,5.0,1.0,False
OK,194.0,408,No,No,0,162.3,88.0,213.7,118.0,192.1,81,10.9,2.0,0.0,False
CO,154.0,415,No,No,0,325.45000000000005,75.0,216.5,94.0,253.9,100,10.1,9.0,1.0,True
NC,112.0,415,No,No,0,193.3,96.0,264.1,123.0,128.6,115,9.1,3.0,3.5,False
MD,45.0,415,No,No,0,78.2,127.0,253.4,108.0,255.0,100,17.5,3.0,1.0,False
KS,132.0,415,No,No,0,83.4,110.0,232.2,137.0,146.7,114,7.6,5.0,1.0,False
MA,128.0,415,No,No,0,195.6,99.0,267.8,120.0,164.9,76,16.0,2.0,0.0,False
NM,56.0,408,No,No,0,197.0,110.0,222.8,102.0,225.3,91,10.6,6.0,2.0,False
CA,151.0,415,Yes,No,0,218.0,57.0,114.4,88.0,269.2,95,12.4,1.0,0.0,True
NY,32.0,415,No,No,0,164.8,98.0,229.9,96.0,167.3,108,14.8,2.0,2.0,False
AZ,90.0,415,No,No,0,179.2,77.0,210.7,99.0,276.9,58,9.2,6.0,2.0,False
DC,138.0,415,No,No,0,170.5,87.0,118.2,116.0,187.9,111,11.2,7.0,2.0,False
ND,79.0,408,No,No,0,205.7,123.0,214.5,108.0,226.1,106,6.7,10.5,1.0,False
MO,95.0,415,Yes,No,0,165.5,84.0,286.2,112.0,198.9,89,11.5,2.0,1.0,True
KS,127.0,415,No,No,0,221.0,100.0,160.7,113.0,233.1,96,6.8,4.0,2.0,False
SD,137.0,510,No,No,0,242.1,118.0,191.0,93.0,218.6,50,14.7,2.0,3.0,False
OK,97.0,415,No,No,0,151.6,107.0,155.4,96.0,240.0,112,14.7,4.0,1.0,False
OR,149.0,415,Yes,No,0,176.2,87.0,145.0,81.0,249.5,92,5.7,4.0,0.0,False
IN,117.0,415,Yes,Yes,22,196.0,82.0,322.7,82.0,225.6,120,3.7,5.0,1.0,False
OH,84.0,408,No,No,0,159.5,125.0,247.1,90.0,187.9,82,7.2,4.0,2.0,False
KS,137.0,415,No,No,0,230.2,113.0,220.4,79.0,204.7,111,10.7,7.0,3.5,False
CT,99.0,415,No,No,0,146.7,64.0,274.0,99.0,321.3,98,8.9,1.0,3.0,False
WI,85.0,415,No,No,0,102.0,95.0,270.2,139.0,148.2,105,10.7,3.0,1.0,False
MS,150.0,510,No,No,0,126.0,99.0,238.5,73.0,285.1,100,10.2,6.0,3.0,False
WV,43.0,415,No,No,0,168.4,125.0,243.8,89.0,214.7,102,11.1,2.0,1.0,False
MD,98.0,415,No,No,0,206.5,92.0,176.2,152.0,232.8,115,12.4,5.0,3.5,False
PA,112.0,510,No,No,0,217.1,76.0,205.2,100.0,185.7,91,9.4,3.0,2.0,False
WI,16.0,510,No,No,0,229.6,78.0,205.7,108.0,166.2,91,10.8,2.0,0.0,True
TN,98.0,415,No,Yes,22,278.3,89.0,93.4,143.0,107.6,48,9.7,5.0,0.0,False
IL,84.0,510,No,No,0,181.5,129.0,130.7,112.0,186.5,118,8.5,4.0,1.0,False
DC,66.0,415,No,No,0,167.3,91.0,230.0,68.0,191.7,118,10.6,5.0,1.0,True
GA,98.0,415,No,Yes,31,121.0,105.0,218.9,98.0,226.7,110,12.0,1.0,1.0,False
ID,74.0,415,No,No,0,221.1,124.0,110.8,94.0,240.1,112,10.6,3.0,0.0,False
KY,119.0,510,No,No,0,222.8,122.0,163.2,107.0,160.6,112,11.2,6.0,1.0,False
OH,73.0,415,No,No,0,183.4,80.0,242.0,115.0,201.4,100,7.5,3.0,3.5,False
WI,92.0,415,Yes,No,0,264.3,91.0,160.9,115.0,198.6,73,9.3,5.0,0.0,False
IL,21.0,415,No,No,0,146.0,78.0,109.7,79.0,247.4,108,6.8,7.0,0.0,False
DE,122.0,510,No,No,0,157.1,134.0,184.9,122.0,197.2,59,8.5,5.0,3.5,True
RI,133.0,510,Yes,No,0,127.3,108.0,251.3,81.0,135.0,88,10.3,3.0,1.0,False
TX,145.0,415,No,No,0,187.9,110.0,197.0,117.0,167.0,108,4.8,4.0,2.0,False
OR,25.0,408,No,No,0,178.8,90.0,141.2,72.0,203.0,99,8.4,5.0,2.0,False
MS,126.0,415,No,No,0,256.5,112.0,199.5,90.0,188.3,122,7.0,5.0,3.0,False
OR,76.0,415,No,No,0,169.5,77.0,124.0,87.0,219.4,92,10.0,3.0,0.0,False
DE,113.0,415,No,No,0,239.7,47.0,282.9,110.0,238.4,88,8.7,3.0,2.0,True
DE,206.5,510,Yes,No,0,171.5,99.0,160.0,103.0,212.4,102,5.0,2.0,1.0,True
SD,128.0,408,No,Yes,34,142.3,73.0,194.8,79.0,239.3,81,16.0,6.0,1.0,False
NV,115.0,415,No,No,0,184.1,98.0,327.0,73.0,212.5,106,7.5,6.0,2.0,False
NM,141.0,415,No,Yes,28,206.9,126.0,264.4,126.0,171.8,124,9.3,10.5,2.0,False
MN,51.0,510,No,No,0,259.9,114.0,176.2,94.0,77.2,112,15.3,1.0,1.0,False
NJ,100.0,415,No,No,0,203.8,122.0,283.1,76.0,197.3,83,12.5,3.0,0.0,False
IN,96.0,415,No,Yes,45,248.8,124.0,140.3,77.0,263.6,102,10.3,2.0,3.0,False
ME,163.0,415,No,No,0,122.4,129.0,113.4,108.0,180.2,97,12.5,7.0,1.0,False
NH,67.0,415,No,Yes,40,104.9,65.0,216.3,93.0,217.4,128,9.6,9.0,1.0,False
OR,49.0,510,No,No,0,119.4,69.0,273.3,92.0,214.4,152,12.4,7.0,2.0,False
KS,46.0,510,No,No,0,250.3,100.0,260.6,90.0,195.0,104,13.3,2.0,2.0,True
NE,148.0,415,No,No,0,178.3,98.0,282.6,110.0,181.0,98,11.4,4.0,1.0,False
MI,112.0,510,No,No,0,243.4,77.0,182.1,97.0,259.2,94,12.8,2.0,1.0,False
SC,78.0,415,No,No,0,155.0,106.0,175.3,101.0,155.6,125,11.8,5.0,2.0,False
PA,61.0,408,No,Yes,31,288.7,101.0,203.8,102.0,203.2,49,8.6,3.0,0.0,False
MT,58.0,510,No,Yes,29,240.4,80.0,118.9,91.0,164.2,108,11.2,3.0,1.0,False
NM,155.0,415,No,No,0,190.3,123.0,301.3,96.0,214.6,134,8.0,3.0,1.0,False
OH,100.0,510,No,No,0,278.0,76.0,176.7,74.0,219.5,126,8.3,4.0,0.0,True
WY,113.0,510,No,No,0,155.0,93.0,330.6,106.0,189.4,123,13.5,3.0,1.0,False
AR,135.0,510,No,Yes,27,273.4,141.0,154.0,99.0,245.8,112,12.3,6.0,1.0,False
FL,99.0,408,No,No,0,155.3,93.0,265.7,95.0,145.7,67,12.4,4.0,0.0,False
AR,59.0,510,No,Yes,29,133.1,114.0,221.2,82.0,131.6,103,6.8,3.0,1.0,False
MO,135.0,510,No,No,0,246.8,129.0,187.8,121.0,154.5,109,12.6,5.0,1.0,False
WI,85.0,408,Yes,No,0,165.4,107.0,196.0,126.0,337.75,110,9.6,7.0,2.0,False
TX,88.0,510,No,No,0,138.3,116.0,236.0,138.0,179.1,110,9.6,4.0,3.0,False
NM,55.0,510,No,No,0,286.7,100.0,134.4,121.0,192.9,122,6.9,5.0,2.0,False
GA,75.0,415,No,No,0,117.3,114.0,201.1,61.0,107.9,82,12.2,3.0,1.0,False
KS,86.0,408,No,Yes,23,225.5,107.0,246.3,105.0,245.7,81,9.8,2.0,0.0,False
OH,97.0,408,No,No,0,256.4,125.0,273.9,100.0,222.7,101,11.1,1.0,1.0,True
MA,88.0,415,No,No,0,264.8,124.0,245.4,112.0,160.5,115,14.8,2.0,1.0,True
KY,54.0,408,No,No,0,159.8,99.0,264.0,64.0,115.7,70,9.7,7.0,2.0,False
DC,11.0,415,No,Yes,28,190.6,86.0,220.1,122.0,180.3,80,6.0,3.0,3.0,False
WA,109.0,415,No,No,0,184.0,120.0,120.4,119.0,153.7,86,11.0,3.0,0.0,False
UT,90.0,415,No,No,0,261.8,128.0,220.6,104.0,136.6,91,9.6,5.0,1.0,False
NV,91.0,408,No,No,0,133.7,75.0,195.3,87.0,280.5,89,5.9,2.0,0.0,False
ND,105.0,415,No,Yes,23,193.5,85.0,220.2,90.0,272.4,111,8.5,5.0,0.0,False
NV,71.0,415,Yes,No,0,178.2,113.0,167.8,94.0,182.1,111,13.6,3.0,3.0,True
FL,132.0,510,No,Yes,36,226.2,103.0,181.6,125.0,258.8,102,10.5,5.0,3.0,True
MD,112.0,415,No,No,0,170.4,103.0,200.2,71.0,258.3,100,11.6,4.0,1.0,False
AL,41.0,510,No,Yes,34,194.4,63.0,254.9,110.0,160.2,115,17.2,9.0,2.0,False
NE,44.0,415,No,No,0,240.3,146.0,164.6,83.0,240.7,106,10.6,2.0,1.0,False
NV,78.0,408,No,No,0,75.0,116.0,248.7,87.0,176.0,83,9.5,6.0,3.0,False
IL,149.0,408,No,No,0,69.1,117.0,136.3,100.0,181.7,53,6.3,3.0,1.0,False
WV,72.0,510,No,Yes,33,96.6,59.0,315.4,98.0,163.3,117,6.2,4.0,3.5,True
AR,74.0,510,No,No,0,148.5,111.0,146.5,46.5,289.2,83,9.9,6.0,3.0,False
UT,50.0,510,No,No,0,258.1,106.0,161.4,106.0,225.1,110,11.7,5.0,1.0,False
GA,141.0,510,No,Yes,23,149.7,112.0,162.5,118.0,220.3,115,7.6,2.0,3.0,False
AZ,140.0,408,No,No,0,149.8,134.0,164.4,98.0,294.7,124,8.1,2.0,1.0,False
ID,99.0,408,No,No,0,190.4,102.0,158.1,107.0,271.5,92,11.2,4.0,2.0,False
HI,166.0,408,No,No,0,181.4,108.0,253.8,54.0,112.3,94,11.6,6.0,1.0,False
MD,74.0,415,No,No,0,155.7,116.0,173.7,63.0,257.4,97,8.1,4.0,0.0,False
GA,117.0,510,No,No,0,149.9,95.0,256.1,110.0,212.7,92,13.3,10.5,2.0,False
GA,85.0,510,No,No,0,222.3,132.0,231.5,101.0,223.5,75,11.0,2.0,3.0,False
UT,36.0,415,No,Yes,16,149.4,111.0,131.8,113.0,132.7,87,6.7,2.0,0.0,False
IN,76.0,415,No,No,0,204.2,100.0,292.6,139.0,244.3,105,10.5,2.0,0.0,False
VT,165.0,510,No,No,0,242.9,126.0,209.8,65.0,228.4,126,3.1000000000000005,0.0,1.0,False
IA,130.0,415,No,No,0,150.4,119.0,230.5,99.0,186.3,76,12.3,4.0,1.0,False
ME,92.0,415,Yes,No,0,130.7,113.0,260.6,122.0,244.2,98,9.4,2.0,2.0,True
MD,18.0,408,No,No,0,273.6,93.0,114.6,116.0,250.6,120,8.2,4.0,1.0,False
FL,161.0,415,Yes,No,0,156.1,114.0,180.3,63.0,179.6,115,11.1,9.0,2.0,False
CA,93.0,415,No,Yes,36,178.7,134.0,178.6,102.0,126.8,82,8.0,4.0,2.0,False
AL,144.0,415,No,No,0,177.5,93.0,287.4,75.0,180.5,118,11.9,3.0,2.0,False
WV,95.0,415,No,No,0,175.2,91.0,244.4,109.0,75.8,95,7.5,2.0,1.0,False
FL,124.0,415,No,Yes,28,251.4,104.0,225.1,89.0,251.9,121,7.5,5.0,1.0,False
MI,93.0,415,Yes,No,0,216.9,61.0,207.4,120.0,221.7,110,17.5,5.0,1.0,True
MI,109.0,415,Yes,Yes,26,217.2,138.0,145.5,111.0,280.7,76,9.3,3.0,0.0,False
NM,80.0,510,No,No,0,206.3,97.0,154.9,98.0,263.6,82,12.4,10.5,0.0,False
AK,41.0,415,No,No,0,159.3,66.0,125.9,75.0,261.9,76,11.1,5.0,1.0,False
OH,136.0,415,No,Yes,31,143.1,88.0,236.6,65.0,227.8,120,11.4,5.0,2.0,False
KS,143.0,408,No,Yes,24,186.6,69.0,222.0,116.0,234.9,138,11.6,5.0,1.0,False
MS,118.0,415,No,Yes,26,170.8,114.0,199.5,125.0,169.7,98,9.6,5.0,3.5,True
VT,193.0,408,No,Yes,17,124.0,102.0,202.9,81.0,205.1,129,12.3,3.0,1.0,False
NE,73.0,415,No,No,0,198.3,94.0,279.3,101.0,146.2,87,14.8,8.0,3.0,False
VA,62.0,408,No,No,0,172.8,101.0,204.8,97.0,240.8,90,9.1,8.0,2.0,False
DE,30.0,415,No,Yes,30,217.4,74.0,213.8,86.0,227.2,104,6.6,3.0,0.0,False
AL,60.0,408,Yes,Yes,29,265.9,113.0,215.8,94.0,108.1,82,14.0,10.5,0.0,True
ID,148.0,510,No,Yes,14,93.6,137.0,193.8,72.0,144.9,84,17.5,5.0,1.0,False
MS,96.0,510,No,No,0,98.2,100.0,307.2,88.0,182.5,120,7.6,1.0,2.0,False
NM,87.0,415,No,No,0,168.2,92.0,224.7,100.0,169.5,99,12.9,3.0,1.0,False
WI,41.0,408,No,No,0,202.9,97.0,153.8,104.0,113.5,92,9.0,3.0,3.0,False
WV,112.0,415,No,No,0,261.4,108.0,154.5,102.0,130.9,90,11.6,2.0,1.0,False
SC,88.0,510,No,No,0,73.3,86.0,161.4,82.0,239.6,76,8.2,3.0,3.5,True
KY,122.0,408,No,Yes,27,253.7,84.0,229.2,109.0,190.5,123,9.2,5.0,3.5,False
MO,61.0,408,No,No,0,45.0,108.0,151.3,74.0,152.9,94,9.8,6.0,2.0,False
OK,176.0,408,No,No,0,47.4,125.0,167.8,90.0,163.1,107,10.5,8.0,2.0,False
MI,30.0,510,No,No,0,227.4,88.0,182.5,100.0,191.7,134,12.5,3.0,0.0,False
ID,46.0,415,No,No,0,124.8,133.0,157.3,143.0,199.3,72,8.6,4.0,2.0,False
DC,100.0,510,Yes,No,0,68.5,110.0,337.1,115.0,205.2,99,12.1,9.0,0.0,False
NY,47.0,415,No,Yes,37,163.5,77.0,203.1,102.0,232.0,87,7.8,4.0,2.0,False
AL,77.0,415,No,No,0,163.0,112.0,219.1,89.0,233.4,66,6.7,3.0,2.0,False
OR,98.0,415,No,Yes,38,213.7,61.0,253.0,104.0,207.7,73,10.7,5.0,2.0,False
OK,125.0,415,No,Yes,36,201.3,117.0,63.54999999999997,78.0,125.7,104,5.4,3.0,1.0,False
NE,194.0,408,No,No,0,48.4,101.0,281.1,138.0,218.5,87,17.5,1.0,1.0,False
TX,128.0,415,No,Yes,40,171.2,88.0,145.7,109.0,196.8,93,14.0,6.0,1.0,False
UT,190.0,415,No,Yes,22,166.5,93.0,183.0,92.0,121.0,102,8.5,3.0,0.0,False
NY,59.0,408,No,No,0,107.8,113.0,216.6,125.0,217.5,92,9.9,3.0,2.0,False
AL,47.0,408,No,Yes,28,141.3,94.0,168.0,108.0,113.5,84,7.8,2.0,1.0,False
MN,152.0,415,Yes,Yes,20,237.5,120.0,253.4,94.0,265.2,80,14.2,3.0,3.5,True
RI,95.0,510,No,Yes,27,129.5,106.0,248.9,90.0,268.0,115,11.9,3.0,1.0,False
CT,31.0,415,No,Yes,31,100.1,54.0,246.3,97.0,255.0,131,5.9,3.0,0.0,False
OK,121.0,408,No,Yes,31,237.1,63.0,205.6,117.0,196.7,85,10.1,5.0,3.5,False
AK,111.0,415,No,No,0,172.8,58.0,183.1,108.0,158.8,104,7.9,3.0,3.5,True
GA,44.0,510,No,No,0,288.1,112.0,258.0,92.0,192.4,90,10.2,4.0,3.0,True
UT,61.0,510,Yes,No,0,78.2,103.0,195.9,149.0,108.0,100,10.1,6.0,2.0,False
NM,65.0,415,No,No,0,148.7,80.0,259.0,94.0,149.5,107,12.7,6.0,2.0,False
NE,74.0,415,No,Yes,25,194.6,84.0,119.9,103.0,175.5,75,13.1,2.0,2.0,False
NJ,123.0,408,No,No,0,159.5,77.0,303.8,92.0,226.9,120,12.0,4.0,0.0,False
TX,58.0,408,No,Yes,20,194.5,110.0,213.7,89.0,236.6,92,9.5,2.0,1.0,False
MT,74.0,408,No,No,0,174.1,96.0,251.1,94.0,257.6,123,8.3,5.0,2.0,True
CO,125.0,415,No,No,0,131.8,97.0,136.7,100.0,308.2,119,7.7,6.0,2.0,False
RI,53.0,408,No,Yes,18,146.8,107.0,310.0,84.0,178.7,130,7.2,7.0,0.0,False
WY,99.0,408,No,Yes,28,200.7,88.0,264.2,116.0,172.7,102,9.1,5.0,1.0,False
ID,99.0,415,No,No,0,145.6,106.0,98.3,106.0,230.8,83,10.9,5.0,1.0,False
CT,66.0,415,No,Yes,29,229.4,104.0,257.4,84.0,231.5,119,8.0,1.0,2.0,False
ME,97.0,510,No,No,0,211.0,76.0,189.0,100.0,123.0,102,4.7,4.0,3.0,False
MD,85.0,510,Yes,No,0,216.0,73.0,188.2,117.0,147.1,98,3.6,7.0,2.0,False
IN,108.0,510,No,No,0,293.0,88.0,160.6,101.0,143.9,87,10.0,6.0,2.0,False
NC,133.0,408,Yes,Yes,32,221.1,137.0,264.9,99.0,168.9,108,15.4,4.0,2.0,True
DE,51.0,510,No,No,0,181.5,108.0,196.9,87.0,187.2,119,10.3,2.0,1.0,False
MN,186.0,415,No,Yes,26,74.3,107.0,177.3,116.0,296.3,90,14.5,3.0,2.0,False
WI,44.0,415,Yes,No,0,62.3,92.0,275.0,82.0,138.7,108,10.8,3.0,1.0,False
FL,64.0,408,No,Yes,31,228.6,88.0,248.5,109.0,167.1,124,9.0,1.0,3.0,False
SD,114.0,415,No,Yes,36,309.9,90.0,200.3,89.0,183.5,105,14.2,2.0,1.0,False
FL,92.0,415,No,No,0,201.9,74.0,226.8,119.0,217.5,80,13.7,6.0,3.0,False
OR,110.0,408,No,No,0,149.8,112.0,180.0,93.0,140.0,119,11.7,4.0,2.0,False
CO,90.0,408,No,Yes,30,183.8,76.0,229.7,95.0,144.1,124,7.7,3.0,1.0,False
CT,72.0,408,No,Yes,21,186.7,108.0,335.0,86.0,187.2,119,16.5,4.0,1.0,False
IN,113.0,415,No,No,0,209.4,151.0,338.35,113.0,246.0,116,7.4,2.0,1.0,True
PA,171.0,415,No,Yes,25,223.2,77.0,183.2,118.0,150.8,90,10.2,3.0,3.0,False
NM,104.0,415,No,No,0,164.2,109.0,155.4,90.0,168.9,117,10.7,8.0,1.0,False
ME,165.0,408,No,No,0,150.5,75.0,193.1,93.0,311.6,93,10.3,2.0,1.0,False
SD,104.0,510,No,No,0,234.2,128.0,293.1,92.0,183.9,79,9.8,6.0,0.0,True
AR,110.0,408,No,No,0,55.3,102.0,164.7,124.0,200.7,108,10.2,5.0,1.0,False
TX,90.0,408,Yes,No,0,221.8,97.0,203.8,134.0,215.8,152,8.4,4.0,1.0,False
